"","edu2F","labM","expedu","lifexxp","GNI","matmor","adbi","repparl"
"Tonga",87.5,74.6,14.7,72.8,"5,069",120,18.1,0
"Belize",76.4,82.3,13.6,70,"7,614",45,71.4,13.3
"Dominican Republic",55.6,78.6,13.1,73.5,"11,883",100,99.6,19.1
"Suriname",44.6,68.8,12.7,71.1,"15,617",130,35.2,11.8
"Maldives",27.3,77.5,13,76.8,"12,328",31,4.2,5.9
"Samoa",64.3,58.4,12.9,73.4,"5,327",58,28.3,6.1
"Botswana",73.6,81.6,12.5,64.5,"16,646",170,44.2,9.5
"Moldova (Republic of)",93.6,44.2,11.9,71.6,"5,223",21,29.3,20.8
"Egypt",43.9,74.8,13.5,71.1,"10,512",45,43,2.2
"Gabon",53.9,65.4,12.5,64.4,"16,367",240,103,16.2
"Indonesia",39.9,84.2,13,68.9,"9,788",190,48.3,17.1
"Paraguay",36.8,84.8,11.9,72.9,"7,643",110,67,16.8
"Philippines",65.9,79.7,11.3,68.2,"7,915",120,46.8,27.1
"El Salvador",36.8,79,12.3,73,"7,349",69,76,27.4
"South Africa",72.7,60.5,13.6,57.4,"12,122",140,50.9,40.7
"Viet Nam",59.4,82.2,11.9,75.8,"5,092",49,29,24.3
"Bolivia (Plurinational State of)",47.6,80.9,13.2,68.3,"5,760",200,71.9,51.8
"Kyrgyzstan",94.5,79.5,12.5,70.6,"3,044",75,29.3,23.3
"Iraq",27.8,69.8,10.1,69.4,"14,003",67,68.7,26.5
"Guyana",60.3,80.5,10.3,66.4,"6,522",250,88.5,31.3
"Nicaragua",39.4,80.3,11.5,74.9,"4,457",100,100.8,39.1
"Morocco",20.7,75.8,11.6,74,"6,850",120,35.8,11
"Namibia",33.3,63.7,11.3,64.8,"9,418",130,54.9,37.7
"Guatemala",21.9,88.2,10.7,71.8,"6,929",140,97.2,13.3
"Tajikistan",95.1,77.1,11.2,69.4,"2,517",44,42.8,15.2
"India",27,79.9,11.7,68,"5,497",190,32.8,12.2
"Honduras",28,82.9,11.1,73.1,"3,938",120,84,25.8
"Bhutan",34,77.2,12.6,69.5,"7,176",120,40.9,8.3
"Syrian Arab Republic",29.5,72.7,12.3,69.6,"2,728",49,41.6,12.4
"Congo",39.7,73,11.1,62.3,"6,012",410,126.7,11.5
"Zambia",25.8,85.6,13.5,60.1,"3,734",280,125.4,12.7
"Ghana",45.2,71.4,11.5,61.4,"3,852",380,58.4,10.9
"Bangladesh",34.1,84.1,10,71.6,"3,191",170,80.6,20
"Cambodia",9.9,86.5,10.9,68.4,"2,949",170,44.3,19
"Kenya",25.3,72.4,11,61.6,"2,762",400,93.6,20.8
"Nepal",17.7,87.1,12.4,69.6,"2,311",190,73.7,29.5
"Pakistan",19.3,82.9,7.8,66.2,"4,866",170,27.3,19.7
"Myanmar",22.9,82.3,8.6,65.9,"4,608",200,12.1,4.7
"Swaziland",21.9,71.6,11.3,49,"5,542",310,72,14.7
"Tanzania (United Republic of)",5.6,90.2,9.2,65,"2,411",410,122.7,36
"Cameroon",21.3,76.8,10.4,55.5,"2,803",590,115.8,27.1
"Zimbabwe",48.7,89.7,10.9,57.5,"1,615",470,60.3,35.1
"Mauritania",8.3,79.1,8.5,63.1,"3,560",320,73.3,22.2
"Papua New Guinea",7.6,74,9.9,62.6,"2,463",220,62.1,2.7
"Yemen",8.6,72.2,9.2,63.8,"3,519",270,47,0.7
"Lesotho",21.9,73.5,11.1,49.8,"3,306",490,89.4,26.8
"Togo",16.1,81.3,12.2,59.7,"1,228",450,91.5,17.6
"Haiti",22.4,71,8.7,62.8,"1,669",380,42,3.5
"Rwanda",8,85.3,10.3,64.2,"1,458",320,33.6,57.5
"Uganda",22.9,79.2,9.8,58.5,"1,613",360,126.6,35
"Benin",11.3,78.3,11.1,59.6,"1,767",340,90.2,8.4
"Sudan",12.1,76,7,63.5,"3,809",360,84,23.8
"Senegal",7.2,88,7.9,66.5,"2,188",320,94.4,42.7
"Afghanistan",5.9,79.5,9.3,60.4,"1,885",400,86.8,27.6
"Côte d'Ivoire",14,81.4,8.9,51.5,"3,171",720,130.3,9.2
"Malawi",11.1,81.5,10.8,62.8,"747",510,144.8,16.7
"Ethiopia",7.8,89.3,8.5,64.1,"1,428",420,78.4,25.5
"Gambia",17.4,82.9,8.8,60.2,"1,507",430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,73.2,9.8,58.7,"680",730,135.3,8.2
"Liberia",15.4,64.8,9.5,60.9,"805",640,117.4,10.7
"Mali",7.7,81.4,8.4,58,"1,583",550,175.6,9.5
"Mozambique",1.4,82.8,9.3,55.1,"1,123",480,137.8,39.6
"Sierra Leone",10,69,8.6,50.9,"1,780",1100,100.7,12.4
"Burkina Faso",0.9,90,7.8,58.7,"1,591",400,115.4,13.3
"Burundi",5.3,82,10.1,56.7,"758",740,30.3,34.9
"Chad",1.7,79.2,7.4,51.6,"2,085",980,152,14.9
"Central African Republic",10.1,85.1,7.2,50.7,"581",880,98.3,12.5
"Niger",2.4,89.7,5.4,61.4,"908",630,204.8,13.3
